League,Team,Revenue,Value
MLB,Arizona Diamondbacks,211,840
MLB,Atlanta Braves,267,1150
MLB,Baltimore Orioles,245,1000
MLB,Boston Red Sox,370,2100
MLB,Chicago Cubs,302,1800
MLB,Chicago White Sox,227,975
MLB,Cincinnati Reds,227,885
MLB,Cleveland Indians,207,825
MLB,Colorado Rockies,214,855
MLB,Detroit Tigers,254,1125
MLB,Houston Astros,175,800
MLB,Kansas City Royals,231,700
MLB,Los Angeles Angels,304,1300
MLB,Los Angeles Dodgers,403,2400
MLB,Miami Marlins,188,650
MLB,Milwaukee Brewers,226,875
MLB,Minnesota Twins,223,895
MLB,New York Mets,263,1350
MLB,New York Yankees,508,3200
MLB,Oakland Athletics,202,725
MLB,Philadelphia Phillies,265,1250
MLB,Pittsburgh Pirates,229,900
MLB,San Diego Padres,225,890
MLB,San Francisco Giants,387,2000
MLB,Seattle Mariners,250,1100
MLB,St. Louis Cardinals,294,1400
MLB,Tampa Bay Rays,188,625
MLB,Texas Rangers,266,1220
MLB,Toronto Blue Jays,226,870
MLB,Washington Nationals,287,1280
NBA,Atlanta Hawks,222,1520
NBA,Boston Celtics,274,3200
NBA,Brooklyn Nets,280,2650
NBA,Charlotte Hornets,215,1500
NBA,Chicago Bulls,300,3300
NBA,Cleveland Cavaliers,269,1560
NBA,Dallas Mavericks,295,2450
NBA,Denver Nuggets,218,1650
NBA,Detroit Pistons,227,1450
NBA,Golden State Warriors,474,4700
NBA,Houston Rockets,308,2500
NBA,Indiana Pacers,217,1550
NBA,Los Angeles Clippers,262,2750
NBA,Los Angeles Lakers,400,4600
NBA,Memphis Grizzlies,210,1300
NBA,Miami Heat,266,2000
NBA,Milwaukee Bucks,239,1625
NBA,Minnesota Timberwolves,214,1400
NBA,New Orleans Pelicans,209,1350
NBA,New York Knicks,421,5000
NBA,Oklahoma City Thunder,236,1575
NBA,Orlando Magic,218,1460
NBA,Philadelphia 76ers,259,2075
NBA,Phoenix Suns,222,1700
NBA,Portland Trail Blazers,240,1900
NBA,Sacramento Kings,245,1825
NBA,San Antonio Spurs,255,1850
NBA,Toronto Raptors,264,2150
NBA,Utah Jazz,226,1660
NBA,Washington Wizards,231,1800
NFL,Arizona Cardinals,422 ,2325
NFL,Atlanta Falcons,467 ,2875
NFL,Baltimore Ravens,460 ,2975
NFL,Buffalo Bills,413 ,2050
NFL,Carolina Panthers,447 ,2550
NFL,Chicago Bears,477 ,3525
NFL,Cincinnati Bengals,397 ,2000
NFL,Cleveland Browns,431 ,2350
NFL,Dallas Cowboys,980 ,5700
NFL,Denver Broncos,470 ,3200
NFL,Detroit Lions,411 ,2100
NFL,Green Bay Packers,485 ,3050
NFL,Houston Texans,530 ,3300
NFL,Indianapolis Colts,426 ,2850
NFL,Jacksonville Jaguars,443 ,2450
NFL,Kansas City Chiefs,435 ,2500
NFL,Las Vegas Raiders,383 ,3100
NFL,Los Angeles Chargers,392 ,2600
NFL,Los Angeles Rams,423 ,4000
NFL,Miami Dolphins,461 ,2900
NFL,Minnesota Vikings,448 ,2950
NFL,New England Patriots,630 ,4400
NFL,New Orleans Saints,469 ,2475
NFL,New York Giants,547 ,4300
NFL,New York Jets,497 ,3550
NFL,Philadelphia Eagles,509 ,3400
NFL,Pittsburgh Steelers,457 ,3000
NFL,San Francisco 49ers,530 ,3800
NFL,Seattle Seahawks,472 ,3075
NFL,Tampa Bay Buccaneers,419 ,2280
NFL,Tennessee Titans,422 ,2300
NFL,Washington Football Team,504 ,3500
NHL,Anaheim Ducks,119,460
NHL,Arizona Coyotes,95,285
NHL,Boston Bruins,170,1000
NHL,Buffalo Sabres,120,385
NHL,Calgary Flames,120,480
NHL,Carolina Hurricanes,116,440
NHL,Chicago Blackhawks,178,1085
NHL,Colorado Avalanche,115,465
NHL,Columbus Blue Jackets,106,310
NHL,Dallas Stars,142,575
NHL,Detroit Red Wings,157,775
NHL,Edmonton Oilers,137,550
NHL,Florida Panthers,92,295
NHL,Los Angeles Kings,171,825
NHL,Minnesota Wild,123,500
NHL,Montreal Canadiens,219,1340
NHL,Nashville Predators,121,435
NHL,New Jersey Devils,152,530
NHL,New York Islanders,93,520
NHL,New York Rangers,225,1650
NHL,Ottawa Senators,115,430
NHL,Philadelphia Flyers,161,800
NHL,Pittsburgh Penguins,159,650
NHL,San Jose Sharks,118,515
NHL,St Louis Blues,129,510
NHL,Tampa Bay Lightning,125,470
NHL,Toronto Maple Leafs,223,1500
NHL,Vancouver Canucks,146,725
NHL,Vegas Golden Knights,156,570
NHL,Washington Capitals,148,750
NHL,Winnipeg Jets,117,405
